Rank(Instate),Rank(Out ofstate),Name,State,Adm. rate,4-Yr grad. rate,Total cost per yr. (In state),Total cost per yr. (Out of state),Average need-based aid,Average non-need-based aid,Average debt at graduation
84,82,"College of Charleston, Charleston",SC,70,48,21361,34219,3173,11423,19875
85,97,"University of Colorado at Boulder, Boulder",CO,84,41,21051,42033,8125,6707,19211
86,84,"Missouri University of Science & Technology, Rolla",MO,93,25,17804,29819,4370,4889,24235
87,44,"University of Minnesota, Morris, Morris",MN,71,47,19582,19582,9147,3589,25855
88,77,"Bloomsburg University of Pennsylvania, Bloomsburg",PA,64,41,15546,24252,5822,1971,21322
89,98,"University of Oregon, Eugene",OR,80,46,18669,36309,6321,2544,19336
90,99,"Colorado State University, Fort Collins",CO,72,36,16855,32965,5170,3371,20432
91,78,"University of Maryland, Baltimore County, Baltimore",MD,69,32,19991,29928,7920,3688,19353
92,85,"San Diego State University, San Diego",CA,36,29,18329,29489,7100,1800,14700
93,94,"University of New Hampshire, Durham",NH,72,52,23925,37895,3223,8640,30760
94,81,"Temple University, Philadelphia",PA,61,40,22974,32802,5256,9120,29886
95,60,"Illinois State University, Normal",IL,62,42,20876,27416,8857,3231,20105
96,96,"Auburn University, Auburn University",AL,80,37,18630,32646,5419,4600,22232
97,95,"Florida International University, Miami",FL,35,20,17651,30050,4868,662,14912
98,88,"Washington State University, Pullman",WA,76,40,20069,31111,7403,2284,20544
99,86,"Millersville University of Pennsylvania, Millersville",PA,53,36,16998,25822,5447,3002,22479
100,100,"Georgia College & State University, Milledgeville",GA,62,25,19892,36930,4104,1197,15800
